"Date","DAILY_AQI_VALUE","Site Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,74,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,61,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,71,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,61,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,80,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,61,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,51,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,71,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
